run_index,number_of_matrix_rows,number_of_matrix_columns,run_duration_in_seconds,gflops
1,512,512,0.04021,6.67616
2,512,512,0.03900,6.88276
3,512,512,0.03676,7.30334
4,512,512,0.03678,7.29823
5,512,512,0.03697,7.26075
6,512,512,0.04291,6.25644
7,512,512,0.03712,7.23082
8,512,512,0.03667,7.31990
9,512,512,0.03733,7.19042
10,512,512,0.03698,7.25833
11,512,512,0.03877,6.92466
12,512,512,0.03769,7.12145
13,512,512,0.03978,6.74718
14,512,512,0.04199,6.39249
15,512,512,0.04025,6.66857
16,512,512,0.04049,6.63036
17,512,512,0.03689,7.27742
18,512,512,0.03718,7.22079
19,512,512,0.03607,7.44128
20,512,512,0.03669,7.31708
