run_index,number_of_matrix_rows,number_of_matrix_columns,run_duration_in_seconds,gflops
1,1024,1024,1.10933,1.93583
2,1024,1024,1.08698,1.97565
3,1024,1024,1.09567,1.95998
4,1024,1024,1.09278,1.96516
5,1024,1024,1.09940,1.95332
6,1024,1024,1.08843,1.97301
7,1024,1024,1.09087,1.96860
8,1024,1024,1.09498,1.96121
9,1024,1024,1.11400,1.92773
10,1024,1024,1.08564,1.97808
11,1024,1024,1.09295,1.96484
12,1024,1024,1.09459,1.96191
13,1024,1024,1.09918,1.95371
14,1024,1024,1.08395,1.98116
15,1024,1024,1.09720,1.95725
16,1024,1024,1.09299,1.96478
17,1024,1024,1.09976,1.95268
18,1024,1024,1.08705,1.97551
19,1024,1024,1.09557,1.96015
20,1024,1024,1.09024,1.96974
