run_index,number_of_matrix_rows,number_of_matrix_columns,run_duration_in_seconds,gflops
1,512,512,0.03717,7.22178
2,512,512,0.03835,6.99935
3,512,512,0.03599,7.45758
4,512,512,0.03557,7.54621
5,512,512,0.03559,7.54311
6,512,512,0.03567,7.52505
7,512,512,0.03635,7.38400
8,512,512,0.03563,7.53357
9,512,512,0.03685,7.28471
10,512,512,0.03619,7.41676
11,512,512,0.03641,7.37285
12,512,512,0.03611,7.43437
13,512,512,0.03607,7.44219
14,512,512,0.03588,7.48166
15,512,512,0.03605,7.44517
16,512,512,0.03703,7.24821
17,512,512,0.03644,7.36633
18,512,512,0.03617,7.42230
19,512,512,0.03573,7.51233
20,512,512,0.03665,7.32366
