run_index,number_of_matrix_rows,number_of_matrix_columns,run_duration_in_seconds,gflops
1,1024,1024,1.09348,1.96391
2,1024,1024,1.10570,1.94220
3,1024,1024,1.09508,1.96103
4,1024,1024,1.09533,1.96059
5,1024,1024,1.09572,1.95988
6,1024,1024,1.09643,1.95861
7,1024,1024,1.09576,1.95981
8,1024,1024,1.09711,1.95740
9,1024,1024,1.09590,1.95957
10,1024,1024,1.09801,1.95580
11,1024,1024,1.10025,1.95182
12,1024,1024,1.09817,1.95551
13,1024,1024,1.11403,1.92767
14,1024,1024,1.09794,1.95592
15,1024,1024,1.09866,1.95464
16,1024,1024,1.09809,1.95566
17,1024,1024,1.09710,1.95742
18,1024,1024,1.09683,1.95789
19,1024,1024,1.09589,1.95958
20,1024,1024,1.09575,1.95983
