run_index,number_of_matrix_rows,number_of_matrix_columns,run_duration_in_seconds,gflops
1,512,512,0.00462,57.99981
2,512,512,0.00456,58.75074
3,512,512,0.00450,59.56216
4,512,512,0.00451,59.45817
5,512,512,0.00449,59.73647
6,512,512,0.00467,57.45305
7,512,512,0.00453,59.22780
8,512,512,0.00452,59.33942
9,512,512,0.00454,59.10167
10,512,512,0.00450,59.63352
11,512,512,0.00448,59.86320
12,512,512,0.00445,60.25270
13,512,512,0.00488,54.94168
14,512,512,0.00501,53.56308
15,512,512,0.00469,57.22100
16,512,512,0.00491,54.56672
17,512,512,0.00462,58.05927
18,512,512,0.00452,59.32000
19,512,512,0.00451,59.49631
20,512,512,0.00460,58.26407
