run_index,number_of_matrix_rows,number_of_matrix_columns,run_duration_in_seconds,gflops
1,512,512,0.12702,2.11123
2,512,512,0.12480,2.14880
3,512,512,0.12668,2.11697
4,512,512,0.12697,2.11205
5,512,512,0.12542,2.13828
6,512,512,0.12555,2.13600
7,512,512,0.12557,2.13567
8,512,512,0.12680,2.11497
9,512,512,0.12541,2.13834
10,512,512,0.12575,2.13263
11,512,512,0.12548,2.13724
12,512,512,0.12670,2.11659
13,512,512,0.12536,2.13917
14,512,512,0.12555,2.13600
15,512,512,0.12542,2.13828
16,512,512,0.12550,2.13687
17,512,512,0.14224,1.88532
18,512,512,0.12558,2.13554
19,512,512,0.12556,2.13587
20,512,512,0.12558,2.13541
