run_index,number_of_matrix_rows,number_of_matrix_columns,run_duration_in_seconds,gflops
1,1024,1024,0.02079,103.21913
2,1024,1024,0.02041,105.14852
3,1024,1024,0.02089,102.73883
4,1024,1024,0.02227,96.38481
5,1024,1024,0.02098,102.31413
6,1024,1024,0.02103,102.04495
7,1024,1024,0.02082,103.11011
8,1024,1024,0.02248,95.47672
9,1024,1024,0.02043,105.07237
10,1024,1024,0.02087,102.84312
11,1024,1024,0.02074,103.46808
12,1024,1024,0.02160,99.39319
13,1024,1024,0.02068,103.79773
14,1024,1024,0.02058,104.27338
15,1024,1024,0.02418,88.78683
16,1024,1024,0.02242,95.75284
17,1024,1024,0.02111,101.69451
18,1024,1024,0.02063,104.02283
19,1024,1024,0.02070,103.69871
20,1024,1024,0.02064,103.99528
