run_index,number_of_matrix_rows,number_of_matrix_columns,run_duration_in_seconds,gflops
1,2048,2048,9.04646,1.89861
2,2048,2048,9.03860,1.90026
3,2048,2048,9.07224,1.89321
4,2048,2048,9.04003,1.89996
5,2048,2048,9.06326,1.89509
6,2048,2048,9.03202,1.90164
7,2048,2048,9.07238,1.89318
8,2048,2048,9.05706,1.89639
9,2048,2048,9.05016,1.89783
10,2048,2048,9.03683,1.90063
11,2048,2048,9.04337,1.89926
12,2048,2048,9.05769,1.89625
13,2048,2048,9.04734,1.89842
14,2048,2048,9.05547,1.89672
15,2048,2048,9.04451,1.89902
16,2048,2048,9.05987,1.89580
17,2048,2048,9.04360,1.89921
18,2048,2048,9.03806,1.90037
19,2048,2048,9.06930,1.89383
20,2048,2048,9.05894,1.89599
